Offset(P)            #Ptr   #Hnd Access Name
0x000000000208c720      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\mui\041f
0x000000000208d238      1      1 ------ \Device\NamedPipe\EVENTLOG
0x000000000209db50      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Policies\x86_policy.6.0.Microsoft.Windows.Common-Controls_6595b64144ccf1df_x-ww_5ddad775\6.0.2600.6028.Policy
0x000000000209dbe8      1      0 -W-r-- \Device\HarddiskVolume1\Intel\ivecuqmanpnirkt615\00000000.res
0x000000000209ddb0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wmiprvse.exe
0x000000000209de48      1      0 R--r-- \Device\HarddiskVolume1\Intel\ivecuqmanpnirkt615\b.wnry
0x000000000209e1c0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000209e3a0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000209e580      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000020a0e38      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x000000000215b838      1      1 ------ \Device\NamedPipe\browser
0x000000000215c230      2      1 R--rw- \Device\HarddiskVolume1\WINDOWS\ime\imjp8_1\applets
0x000000000215c418      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0x000000000215cad0      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\donny\Start Menu\Programs\Accessories\desktop.ini
0x000000000215e330      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000215e648      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000002162028      3      1 ------ \Device\NamedPipe\net\NtControlPipe1
0x0000000002162d50      3      0 RWD--- \Device\HarddiskVolume1\$Directory
