Volatility 3 Framework 2.10.0

Offset	Name
0x830565a95460	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Local Storage\leveldb\000062.ldb
0x830565a955f0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Network\Trust Tokens
0x830565a95780	\Dev\Query
0x830565a95910	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Network\Cookies
0x830565a95dc0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\index
0x830565a96590	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\index
0x830565a96720	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_0
0x830565a968b0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_1
0x830565a96a40	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_2
0x830565a96bd0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Shared Dictionary\db
0x830565a96ef0	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Local Storage\leveldb\000005.ldb
0x830565a97080	\Users\rashmi\AppData\Local\Microsoft\Edge\User Data\Default\Cache\Cache_Data\data_2
0x830565a976c0	\Windows\System32\en-US\Windows.Security.Authentication.Web.Core.dll.mui
0x830565a97850	\Windows\System32\Windows.StateRepositoryBroker.dll
0x830565aee0d0	\Windows\System32\IPHLPAPI.DLL
0x830565aee260	\Windows\System32\TSpkg.dll
0x830565aee580	\Windows\System32\netlogon.dll
0x830565aee710	\Windows\System32\netutils.dll
0x830565aee8a0	\Windows\System32\netprovfw.dll
